#No.: ETA value [eV], spt, dt
No.207: 0.104, 58.199999999999854, 13.0
No.208: 0.103282, 58.39999999999985, 13.0
No.209: 0.102916, 58.59999999999985, 13.0
No.210: 0.102628, 58.799999999999855, 13.0
No.211: 0.10261, 58.99999999999985, 13.0
No.212: 0.102615, 59.19999999999985, 13.0
No.213: 0.102748, 59.39999999999985, 13.0
No.214: 0.103036, 59.59999999999985, 13.0
No.215: 0.103449, 59.79999999999985, 13.0
No.216: 0.103976, 59.999999999999844, 13.0
No.217: 0.104727, 60.19999999999985, 13.0
No.218: 0.10556, 60.39999999999985, 13.0
No.219: 0.106597, 60.599999999999845, 13.0
No.220: 0.108005, 60.79999999999984, 13.0
No.221: 0.109576, 60.999999999999844, 13.0
No.222: 0.111251, 61.19999999999985, 13.0
No.223: 0.113162, 61.39999999999984, 13.0
No.224: 0.115327, 61.59999999999984, 13.0
No.225: 0.117739, 61.79999999999984, 13.0
No.226: 0.120399, 61.999999999999844, 13.0
No.227: 0.123296, 62.19999999999984, 13.0
No.228: 0.126645, 62.399999999999835, 13.0
No.229: 0.130213, 62.59999999999984, 13.0
No.230: 0.134273, 62.79999999999984, 13.0
No.231: 0.138405, 62.99999999999984, 13.0
No.232: 0.142673, 63.19999999999983, 13.0
No.233: 0.147039, 63.399999999999835, 13.0
No.234: 0.151663, 63.59999999999984, 13.0
No.235: 0.156424, 63.799999999999834, 13.0
No.236: 0.161193, 63.99999999999983, 13.0
No.237: 0.16619, 64.19999999999983, 13.0
No.238: 0.171266, 64.39999999999984, 13.0
No.239: 0.176486, 64.59999999999982, 13.0
No.240: 0.181861, 64.79999999999983, 13.0

No.241: 0.181861, 17.0, 14.0
No.242: 0.181861, 17.2, 14.0
No.243: 0.181861, 17.4, 14.0
No.244: 0.181861, 17.599999999999998, 14.0
No.245: 0.181861, 17.799999999999997, 14.0
No.246: 0.181861, 17.999999999999996, 14.0
No.247: 0.17421, 18.199999999999996, 14.0
No.248: 0.17421, 18.399999999999995, 14.0
No.249: 0.17421, 18.599999999999994, 14.0
No.250: 0.172195, 18.799999999999994, 14.0
No.251: 0.171541, 18.999999999999993, 14.0
No.252: 0.170868, 19.199999999999992, 14.0
No.253: 0.170183, 19.39999999999999, 14.0
No.254: 0.169463, 19.59999999999999, 14.0
No.255: 0.168797, 19.79999999999999, 14.0
No.256: 0.168091, 19.99999999999999, 14.0
No.257: 0.167404, 20.19999999999999, 14.0
No.258: 0.166687, 20.399999999999988, 14.0
No.259: 0.166042, 20.599999999999987, 14.0
No.260: 0.165339, 20.799999999999986, 14.0
No.261: 0.164627, 20.999999999999986, 14.0
No.262: 0.163982, 21.199999999999985, 14.0
No.263: 0.163293, 21.399999999999984, 14.0
No.264: 0.162593, 21.599999999999984, 14.0
No.265: 0.161908, 21.799999999999983, 14.0
No.266: 0.16119, 21.999999999999982, 14.0
No.267: 0.160467, 22.19999999999998, 14.0
No.268: 0.159791, 22.39999999999998, 14.0
No.269: 0.159115, 22.59999999999998, 14.0
No.270: 0.158446, 22.79999999999998, 14.0
No.271: 0.157748, 22.99999999999998, 14.0
No.272: 0.157121, 23.199999999999978, 14.0
No.273: 0.156407, 23.399999999999977, 14.0
No.274: 0.155697, 23.599999999999977, 14.0
No.275: 0.155027, 23.799999999999976, 14.0
No.276: 0.154363, 23.999999999999975, 14.0
No.277: 0.15366, 24.199999999999974, 14.0
No.278: 0.15299, 24.399999999999974, 14.0
No.279: 0.152332, 24.599999999999973, 14.0
No.280: 0.151657, 24.799999999999972, 14.0
No.281: 0.150954, 24.99999999999997, 14.0
No.282: 0.150275, 25.19999999999997, 14.0
No.283: 0.149625, 25.39999999999997, 14.0
No.284: 0.148896, 25.59999999999997, 14.0
No.285: 0.14828, 25.79999999999997, 14.0
No.286: 0.147622, 25.999999999999968, 14.0
No.287: 0.146902, 26.199999999999967, 14.0
No.288: 0.146286, 26.399999999999967, 14.0
No.289: 0.145637, 26.599999999999966, 14.0
No.290: 0.144996, 26.799999999999965, 14.0
No.291: 0.144341, 26.999999999999964, 14.0
No.292: 0.143702, 27.199999999999964, 14.0
No.293: 0.143078, 27.399999999999963, 14.0
No.294: 0.142396, 27.599999999999962, 14.0
No.295: 0.141804, 27.79999999999996, 14.0
No.296: 0.141207, 27.99999999999996, 14.0
No.297: 0.140589, 28.19999999999996, 14.0
No.298: 0.139971, 28.39999999999996, 14.0
No.299: 0.139383, 28.59999999999996, 14.0
No.300: 0.138807, 28.799999999999958, 14.0
No.301: 0.138205, 28.999999999999957, 14.0
No.302: 0.137612, 29.199999999999957, 14.0
No.303: 0.137058, 29.399999999999956, 14.0
No.304: 0.136444, 29.599999999999955, 14.0
No.305: 0.135896, 29.799999999999955, 14.0
No.306: 0.135408, 29.999999999999954, 14.0
No.307: 0.134884, 30.199999999999953, 14.0
No.308: 0.134356, 30.399999999999952, 14.0
No.309: 0.133858, 30.59999999999995, 14.0
No.310: 0.133358, 30.79999999999995, 14.0
No.311: 0.132878, 30.99999999999995, 14.0
No.312: 0.132401, 31.19999999999995, 14.0
No.313: 0.131913, 31.39999999999995, 14.0
No.314: 0.131487, 31.599999999999948, 14.0
No.315: 0.130991, 31.799999999999947, 14.0
No.316: 0.130585, 31.999999999999947, 14.0
No.317: 0.130161, 32.199999999999946, 14.0
No.318: 0.129966, 32.39999999999995, 14.0
No.319: 0.12986, 32.599999999999945, 14.0
No.320: 0.129821, 32.79999999999994, 14.0
No.321: 0.129873, 32.99999999999994, 14.0
No.322: 0.130034, 33.199999999999946, 14.0
No.323: 0.130267, 33.39999999999994, 14.0
No.324: 0.130514, 33.59999999999994, 14.0
No.325: 0.130851, 33.79999999999994, 14.0
No.326: 0.131258, 33.99999999999994, 14.0
No.327: 0.13168, 34.19999999999994, 14.0
No.328: 0.132026, 34.399999999999935, 14.0
No.329: 0.132472, 34.59999999999994, 14.0
No.330: 0.132827, 34.79999999999994, 14.0
No.331: 0.133197, 34.999999999999936, 14.0
No.332: 0.133565, 35.19999999999993, 14.0
No.333: 0.13392, 35.399999999999935, 14.0
No.334: 0.134223, 35.59999999999994, 14.0
No.335: 0.134607, 35.79999999999993, 14.0
No.336: 0.134954, 35.99999999999993, 14.0
No.337: 0.135255, 36.19999999999993, 14.0
No.338: 0.13554, 36.399999999999935, 14.0
No.339: 0.135827, 36.59999999999993, 14.0
No.340: 0.13613, 36.799999999999926, 14.0
No.341: 0.136439, 36.99999999999993, 14.0
No.342: 0.136704, 37.19999999999993, 14.0
No.343: 0.136949, 37.39999999999993, 14.0
No.344: 0.137181, 37.59999999999992, 14.0
No.345: 0.137459, 37.799999999999926, 14.0
No.346: 0.137667, 37.99999999999993, 14.0
No.347: 0.137898, 38.199999999999925, 14.0
No.348: 0.138117, 38.39999999999992, 14.0
No.349: 0.138336, 38.59999999999992, 14.0
No.350: 0.138537, 38.799999999999926, 14.0
No.351: 0.138734, 38.99999999999992, 14.0
No.352: 0.138936, 39.19999999999992, 14.0
No.353: 0.139111, 39.39999999999992, 14.0
No.354: 0.139277, 39.59999999999992, 14.0
No.355: 0.139413, 39.79999999999992, 14.0
No.356: 0.139549, 39.999999999999915, 14.0
No.357: 0.139696, 40.19999999999992, 14.0
No.358: 0.139837, 40.39999999999992, 14.0
No.359: 0.139978, 40.599999999999916, 14.0
No.360: 0.140069, 40.79999999999991, 14.0
No.361: 0.140228, 40.999999999999915, 14.0
No.362: 0.140307, 41.19999999999992, 14.0
No.363: 0.140307, 41.39999999999991, 14.0
No.364: 0.140526, 41.59999999999991, 14.0
No.365: 0.140622, 41.79999999999991, 14.0
No.366: 0.140689, 41.999999999999915, 14.0
No.367: 0.140807, 42.19999999999991, 14.0
No.368: 0.140878, 42.399999999999906, 14.0
No.369: 0.140967, 42.59999999999991, 14.0
No.370: 0.141063, 42.79999999999991, 14.0
No.371: 0.141094, 42.99999999999991, 14.0
No.372: 0.141167, 43.1999999999999, 14.0
No.373: 0.141243, 43.399999999999906, 14.0
No.374: 0.141307, 43.59999999999991, 14.0
No.375: 0.141319, 43.799999999999905, 14.0
No.376: 0.141387, 43.9999999999999, 14.0
No.377: 0.141446, 44.1999999999999, 14.0
No.378: 0.14145, 44.399999999999906, 14.0
No.379: 0.141486, 44.5999999999999, 14.0
No.380: 0.141493, 44.7999999999999, 14.0
No.381: 0.141551, 44.9999999999999, 14.0
No.382: 0.141532, 45.1999999999999, 14.0
No.383: 0.141574, 45.3999999999999, 14.0
No.384: 0.141577, 45.599999999999895, 14.0
No.385: 0.141546, 45.7999999999999, 14.0
No.386: 0.141567, 45.9999999999999, 14.0
No.387: 0.141549, 46.199999999999896, 14.0
No.388: 0.141554, 46.39999999999989, 14.0
No.389: 0.141515, 46.599999999999895, 14.0
No.390: 0.141499, 46.7999999999999, 14.0
No.391: 0.141473, 46.99999999999989, 14.0
No.392: 0.141409, 47.19999999999989, 14.0
No.393: 0.141412, 47.39999999999989, 14.0
No.394: 0.141323, 47.599999999999895, 14.0
No.395: 0.141274, 47.79999999999989, 14.0
No.396: 0.141222, 47.999999999999886, 14.0
No.397: 0.141177, 48.19999999999989, 14.0
No.398: 0.141032, 48.39999999999989, 14.0
No.399: 0.140994, 48.59999999999989, 14.0
No.400: 0.140851, 48.79999999999988, 14.0
No.401: 0.14074, 48.999999999999886, 14.0
No.402: 0.140609, 49.19999999999989, 14.0
No.403: 0.14047, 49.399999999999885, 14.0
No.404: 0.140295, 49.59999999999988, 14.0
No.405: 0.140145, 49.79999999999988, 14.0
No.406: 0.13999, 49.999999999999886, 14.0
No.407: 0.139772, 50.19999999999988, 14.0
No.408: 0.139584, 50.39999999999988, 14.0
No.409: 0.139376, 50.59999999999988, 14.0
No.410: 0.139088, 50.79999999999988, 14.0
No.411: 0.138838, 50.99999999999988, 14.0
No.412: 0.138553, 51.199999999999875, 14.0
No.413: 0.138252, 51.39999999999988, 14.0
No.414: 0.137903, 51.59999999999988, 14.0
No.415: 0.137547, 51.799999999999876, 14.0
No.416: 0.137185, 51.99999999999987, 14.0
