#No.: ETA [eV], sigma_den, r0_den, simga_s, r0_s, sigma_p, r0_p, sigma_d, r0_d, stos(y1s), stos(y2s), stos(y3s), stop(y1p), stop(y2p), stop(y3p), stod(y1d), stod(y2d), stod(y3d), sdt, sdt3kbt 
#| iter | 1/target | x0 | x1 | x2 | x3 | x4 | x5 | x6 | x7 | x8 | x9 | x10 | x11 | x12 | x13 | x14 | x15 | x16 | SDT | SDT(3kbT) |
No.50: 0.275156, 4.3, 16.1, 5.8, 5.7, 8.6, 5.3, 7.6, 4.2, 0.94, 1.86, 6.55, 0.72, 2.13, 4.86, 2.75, 4.36, 10.87, 0.262351, 2.58519
No.51: 0.347927, 14.9, 20.3, 7.8, 4.8, 6.9, 5.4, 7.6, 7.1, 1.11, 2.31, 5.63, 0.68, 2.14, 6.97, 3.67, 6.44, 9.13, 0.236507, 2.58519
No.52: 9.999, 15.9, 4.2, 5.9, 3.1, 8.1, 6.3, 6.4, 4.4, 1.10, 1.93, 6.99, 0.63, 1.70, 4.83, 1.96, 6.35, 8.19, 9.999, 9.999
No.53: 9.999, 14.0, 15.4, 6.9, 6.1, 6.3, 6.8, 7.3, 7.3, 0.84, 1.77, 5.22, 0.61, 2.42, 4.56, 2.20, 5.53, 11.24, 9.999, 9.999
No.54: 9.999, 15.7, 3.6, 7.4, 3.5, 7.7, 7.6, 9.0, 5.5, 1.08, 2.63, 6.83, 0.97, 1.99, 7.00, 1.86, 5.89, 8.04, 9.999, 9.999
No.55: 9.999, 9.5, 16.5, 7.2, 4.2, 5.9, 3.9, 6.6, 3.7, 0.79, 2.19, 3.80, 0.85, 1.61, 5.98, 2.71, 5.60, 15.82, 9.999, 9.999
No.56: 9.999, 16.5, 5.4, 5.5, 5.4, 6.0, 4.5, 4.5, 5.2, 0.85, 2.44, 5.78, 0.93, 2.63, 3.77, 1.91, 5.38, 15.01, 9.999, 9.999
No.57: 9.999, 3.1, 6.5, 8.8, 5.2, 9.2, 3.7, 4.8, 5.5, 0.83, 2.89, 3.29, 0.67, 2.43, 4.76, 2.39, 6.06, 16.80, 9.999, 9.999
No.58: 0.50975, 9.4, 16.8, 5.6, 5.1, 5.2, 4.0, 9.0, 4.6, 0.86, 2.30, 6.62, 0.90, 2.79, 4.19, 2.29, 5.08, 12.74, 0.439074, 2.58519
No.59: 0.27878, 9.9, 4.5, 9.5, 3.9, 7.9, 4.9, 8.5, 4.9, 1.20, 2.59, 6.54, 1.25, 2.69, 4.31, 2.81, 5.12, 12.80, 0.279765, 2.58519
No.60: 9.999, 13.5, 14.9, 8.4, 4.7, 4.7, 4.1, 5.5, 5.0, 0.63, 2.35, 4.03, 0.62, 1.90, 3.37, 3.15, 6.55, 11.67, 9.999, 9.999
No.61: 9.999, 9.7, 18.9, 9.4, 3.1, 5.7, 3.8, 6.6, 7.2, 0.65, 2.14, 4.87, 1.17, 2.11, 3.29, 3.51, 6.49, 15.24, 9.999, 9.999
No.62: 9.999, 3.9, 23.0, 9.5, 4.0, 9.1, 5.4, 5.7, 7.5, 1.06, 1.48, 6.42, 0.62, 2.16, 4.14, 3.68, 7.72, 13.34, 9.999, 9.999
No.63: 9.999, 15.1, 21.1, 8.8, 4.9, 7.2, 4.6, 6.0, 7.2, 0.88, 1.48, 5.52, 1.09, 1.79, 5.51, 3.40, 3.90, 8.94, 9.999, 9.999
No.64: 9.999, 15.5, 7.9, 5.9, 5.8, 7.4, 4.1, 5.6, 6.0, 0.76, 1.59, 6.36, 1.20, 2.16, 5.50, 2.81, 6.35, 15.54, 9.999, 9.999
