#No.: ETA value [eV], r0, sigma
No.281: 0.124244, 32.0, 9.0
No.282: 0.124244, 33.0, 9.0
No.283: 0.124244, 34.0, 9.0
No.284: 0.124244, 35.0, 9.0
No.285: 0.124246, 36.0, 9.0
No.286: 0.124244, 37.0, 9.0
No.287: 0.124244, 38.0, 9.0
No.288: 0.124244, 39.0, 9.0

No.289: 0.382446, 4.0, 10.0
No.290: 0.190634, 5.0, 10.0
No.291: 0.118171, 6.0, 10.0
No.292: 0.120625, 7.0, 10.0
No.293: 0.122752, 8.0, 10.0
No.294: 0.123768, 9.0, 10.0
No.295: 0.124081, 10.0, 10.0
No.296: 99999.999, 11.0, 10.0
No.297: 0.12421, 12.0, 10.0
No.298: 0.124235, 13.0, 10.0
No.299: 0.124239, 14.0, 10.0
No.300: 0.124244, 15.0, 10.0
No.301: 0.124244, 16.0, 10.0
No.302: 0.124244, 17.0, 10.0
No.303: 0.124244, 18.0, 10.0
No.304: 0.124244, 19.0, 10.0
No.305: 0.124244, 20.0, 10.0
No.306: 0.124244, 21.0, 10.0
No.307: 0.124244, 22.0, 10.0
No.308: 0.124244, 23.0, 10.0
No.309: 0.124244, 24.0, 10.0
No.310: 0.124244, 25.0, 10.0
No.311: 0.124246, 26.0, 10.0
No.312: 0.124244, 27.0, 10.0
No.313: 0.124244, 28.0, 10.0
No.314: 0.124244, 29.0, 10.0
No.315: 0.124244, 30.0, 10.0
No.316: 0.124246, 31.0, 10.0
No.317: 0.124244, 32.0, 10.0
No.318: 0.124244, 33.0, 10.0
No.319: 0.124244, 34.0, 10.0
No.320: 0.124246, 35.0, 10.0
No.321: 0.124244, 36.0, 10.0
No.322: 0.124244, 37.0, 10.0
No.323: 0.124244, 38.0, 10.0
No.324: 0.124244, 39.0, 10.0

No.325: 0.383411, 4.0, 11.0
No.326: 0.18957, 5.0, 11.0
No.327: 0.118098, 6.0, 11.0
No.328: 0.121154, 7.0, 11.0
No.329: 0.123283, 8.0, 11.0
No.330: 0.123973, 9.0, 11.0
No.331: 0.124165, 10.0, 11.0
No.332: 0.124201, 11.0, 11.0
No.333: 0.124235, 12.0, 11.0
No.334: 0.124239, 13.0, 11.0
No.335: 0.124244, 14.0, 11.0
No.336: 0.124244, 15.0, 11.0
No.337: 0.124244, 16.0, 11.0
No.338: 0.124244, 17.0, 11.0
No.339: 0.124244, 18.0, 11.0
No.340: 0.124244, 19.0, 11.0
No.341: 0.124244, 20.0, 11.0
No.342: 0.124244, 21.0, 11.0
No.343: 0.124244, 22.0, 11.0
No.344: 0.124244, 23.0, 11.0
No.345: 0.124244, 24.0, 11.0
No.346: 0.124244, 25.0, 11.0
No.347: 0.124244, 26.0, 11.0
No.348: 0.124244, 27.0, 11.0
No.349: 0.124244, 28.0, 11.0
No.350: 0.124246, 29.0, 11.0
No.351: 0.124246, 30.0, 11.0
No.352: 0.124244, 31.0, 11.0
No.353: 0.124246, 32.0, 11.0
No.354: 0.124244, 33.0, 11.0
No.355: 0.124246, 34.0, 11.0
No.356: 0.124244, 35.0, 11.0
No.357: 0.124244, 36.0, 11.0
No.358: 0.124244, 37.0, 11.0
No.359: 0.124244, 38.0, 11.0
No.360: 0.124244, 39.0, 11.0

No.361: 0.385155, 4.0, 12.0
No.362: 0.191443, 5.0, 12.0
No.363: 0.118225, 6.0, 12.0
No.364: 0.121628, 7.0, 12.0
No.365: 0.123618, 8.0, 12.0
No.366: 0.124077, 9.0, 12.0
No.367: 0.124187, 10.0, 12.0
No.368: 0.124228, 11.0, 12.0
No.369: 0.124242, 12.0, 12.0
No.370: 0.124244, 13.0, 12.0
No.371: 0.124244, 14.0, 12.0
No.372: 0.124244, 15.0, 12.0
No.373: 0.124244, 16.0, 12.0
No.374: 0.124244, 17.0, 12.0
No.375: 0.124244, 18.0, 12.0
No.376: 0.124244, 19.0, 12.0
No.377: 0.124244, 20.0, 12.0
No.378: 0.124246, 21.0, 12.0
No.379: 0.124244, 22.0, 12.0
No.380: 0.124246, 23.0, 12.0
No.381: 0.124244, 24.0, 12.0
No.382: 0.124244, 25.0, 12.0
No.383: 0.124244, 26.0, 12.0
No.384: 0.124244, 27.0, 12.0
No.385: 0.124244, 28.0, 12.0
No.386: 0.124244, 29.0, 12.0
No.387: 0.124244, 30.0, 12.0
No.388: 0.124244, 31.0, 12.0
No.389: 0.124246, 32.0, 12.0
No.390: 0.124246, 33.0, 12.0
No.391: 0.124244, 34.0, 12.0
No.392: 0.124244, 35.0, 12.0
No.393: 0.124244, 36.0, 12.0
No.394: 0.124244, 37.0, 12.0
No.395: 0.124244, 38.0, 12.0
No.396: 0.124244, 39.0, 12.0

No.397: 0.387801, 4.0, 13.0
No.398: 0.195829, 5.0, 13.0
No.399: 0.118341, 6.0, 13.0
No.400: 0.122077, 7.0, 13.0
No.401: 0.123798, 8.0, 13.0
No.402: 0.124145, 9.0, 13.0
No.403: 0.124212, 10.0, 13.0
No.404: 0.124239, 11.0, 13.0
No.405: 0.124244, 12.0, 13.0
No.406: 0.124244, 13.0, 13.0
No.407: 0.124244, 14.0, 13.0
No.408: 0.124244, 15.0, 13.0
No.409: 0.124244, 16.0, 13.0
No.410: 0.124246, 17.0, 13.0
No.411: 0.124244, 18.0, 13.0
No.412: 0.124244, 19.0, 13.0
No.413: 0.124244, 20.0, 13.0
No.414: 0.124244, 21.0, 13.0
No.415: 0.124244, 22.0, 13.0
No.416: 0.124244, 23.0, 13.0
No.417: 0.124244, 24.0, 13.0
No.418: 0.124246, 25.0, 13.0
No.419: 0.124244, 26.0, 13.0
No.420: 0.124246, 27.0, 13.0
No.421: 0.124246, 28.0, 13.0
No.422: 0.124244, 29.0, 13.0
No.423: 0.124246, 30.0, 13.0
No.424: 0.124246, 31.0, 13.0
No.425: 0.124246, 32.0, 13.0
No.426: 0.124244, 33.0, 13.0
No.427: 0.124244, 34.0, 13.0
No.428: 0.124244, 35.0, 13.0
No.429: 0.124244, 36.0, 13.0
No.430: 0.124244, 37.0, 13.0
No.431: 0.124244, 38.0, 13.0
No.432: 0.124244, 39.0, 13.0

No.433: 0.391576, 4.0, 14.0
No.434: 0.202677, 5.0, 14.0
No.435: 0.118472, 6.0, 14.0
No.436: 0.122417, 7.0, 14.0
No.437: 0.123928, 8.0, 14.0
No.438: 0.124183, 9.0, 14.0
No.439: 0.124233, 10.0, 14.0
No.440: 0.124244, 11.0, 14.0
No.441: 0.124244, 12.0, 14.0
No.442: 0.124244, 13.0, 14.0
No.443: 0.124244, 14.0, 14.0
No.444: 0.124244, 15.0, 14.0
No.445: 0.124246, 16.0, 14.0
No.446: 0.124244, 17.0, 14.0
No.447: 0.124244, 18.0, 14.0
No.448: 0.124246, 19.0, 14.0
No.449: 0.124244, 20.0, 14.0
No.450: 0.124246, 21.0, 14.0
No.451: 0.124246, 22.0, 14.0
No.452: 0.124246, 23.0, 14.0
No.453: 0.124244, 24.0, 14.0
No.454: 0.124244, 25.0, 14.0
No.455: 0.124244, 26.0, 14.0
No.456: 0.124244, 27.0, 14.0
No.457: 0.124244, 28.0, 14.0
No.458: 0.124246, 29.0, 14.0
No.459: 0.124244, 30.0, 14.0
No.460: 0.124244, 31.0, 14.0
No.461: 0.124244, 32.0, 14.0
No.462: 0.124244, 33.0, 14.0
No.463: 0.124244, 34.0, 14.0
No.464: 0.124244, 35.0, 14.0
No.465: 0.124244, 36.0, 14.0
No.466: 0.124244, 37.0, 14.0
No.467: 0.124244, 38.0, 14.0
No.468: 0.124244, 39.0, 14.0

No.469: 0.396641, 4.0, 15.0
No.470: 0.211839, 5.0, 15.0
No.471: 0.118519, 6.0, 15.0
No.472: 0.122625, 7.0, 15.0
No.473: 0.123991, 8.0, 15.0
No.474: 0.124187, 9.0, 15.0
No.475: 0.124239, 10.0, 15.0
No.476: 0.124244, 11.0, 15.0
No.477: 0.124244, 12.0, 15.0
No.478: 0.124244, 13.0, 15.0
No.479: 0.124244, 14.0, 15.0
No.480: 0.124244, 15.0, 15.0
No.481: 0.124244, 16.0, 15.0
No.482: 0.124246, 17.0, 15.0
No.483: 0.124244, 18.0, 15.0
No.484: 0.124246, 19.0, 15.0
No.485: 0.124244, 20.0, 15.0
No.486: 0.124246, 21.0, 15.0
No.487: 0.124246, 22.0, 15.0
No.488: 0.124244, 23.0, 15.0
No.489: 0.124244, 24.0, 15.0
No.490: 0.124246, 25.0, 15.0
No.491: 0.124244, 26.0, 15.0
No.492: 0.124244, 27.0, 15.0
No.493: 0.124244, 28.0, 15.0
No.494: 0.124246, 29.0, 15.0
No.495: 0.124244, 30.0, 15.0
No.496: 0.124246, 31.0, 15.0
No.497: 0.124244, 32.0, 15.0
No.498: 0.124244, 33.0, 15.0
No.499: 0.124244, 34.0, 15.0
No.500: 0.124244, 35.0, 15.0
No.501: 0.124246, 36.0, 15.0
No.502: 0.124244, 37.0, 15.0
No.503: 0.124246, 38.0, 15.0
No.504: 0.124244, 39.0, 15.0

No.505: 0.403223, 4.0, 16.0
No.506: 0.222849, 5.0, 16.0
No.507: 0.118519, 6.0, 16.0
No.508: 0.122808, 7.0, 16.0
No.509: 0.124072, 8.0, 16.0
No.510: 0.12421, 9.0, 16.0
No.511: 0.124242, 10.0, 16.0
No.512: 0.124244, 11.0, 16.0
No.513: 0.124244, 12.0, 16.0
No.514: 0.124244, 13.0, 16.0
No.515: 0.124244, 14.0, 16.0
No.516: 0.124244, 15.0, 16.0
No.517: 0.124244, 16.0, 16.0
No.518: 0.124244, 17.0, 16.0
No.519: 0.124246, 18.0, 16.0
No.520: 0.124244, 19.0, 16.0
No.521: 0.124244, 20.0, 16.0
No.522: 0.124244, 21.0, 16.0
No.523: 0.124246, 22.0, 16.0
No.524: 0.124244, 23.0, 16.0
No.525: 0.124244, 24.0, 16.0
No.526: 0.124244, 25.0, 16.0
No.527: 0.124244, 26.0, 16.0
No.528: 0.124244, 27.0, 16.0
No.529: 0.124244, 28.0, 16.0
No.530: 0.124244, 29.0, 16.0
No.531: 0.124244, 30.0, 16.0
No.532: 0.124244, 31.0, 16.0
No.533: 0.124246, 32.0, 16.0
No.534: 0.124244, 33.0, 16.0
No.535: 0.124244, 34.0, 16.0
No.536: 0.124246, 35.0, 16.0
No.537: 0.124244, 36.0, 16.0
No.538: 0.124244, 37.0, 16.0
No.539: 0.124244, 38.0, 16.0
No.540: 0.124246, 39.0, 16.0

No.541: 0.423531, 4.0, 17.0
No.542: 0.235389, 5.0, 17.0
No.543: 0.118529, 6.0, 17.0
No.544: 0.122956, 7.0, 17.0
No.545: 0.124106, 8.0, 17.0
No.546: 0.124224, 9.0, 17.0
No.547: 0.124244, 10.0, 17.0
No.548: 0.124244, 11.0, 17.0
No.549: 0.124244, 12.0, 17.0
No.550: 0.124244, 13.0, 17.0
No.551: 0.124246, 14.0, 17.0
No.552: 0.124246, 15.0, 17.0
No.553: 0.124244, 16.0, 17.0
No.554: 0.124246, 17.0, 17.0
No.555: 0.124244, 18.0, 17.0
No.556: 0.124244, 19.0, 17.0
No.557: 0.124244, 20.0, 17.0
No.558: 0.124244, 21.0, 17.0
No.559: 0.124244, 22.0, 17.0
No.560: 0.124244, 23.0, 17.0
No.561: 0.124246, 24.0, 17.0
No.562: 0.124244, 25.0, 17.0
No.563: 0.124246, 26.0, 17.0
No.564: 0.124246, 27.0, 17.0
No.565: 0.124244, 28.0, 17.0
No.566: 0.124244, 29.0, 17.0
No.567: 0.124244, 30.0, 17.0
No.568: 0.124244, 31.0, 17.0
No.569: 0.124244, 32.0, 17.0
No.570: 0.124244, 33.0, 17.0
No.571: 0.124244, 34.0, 17.0
No.572: 0.124244, 35.0, 17.0
No.573: 0.124244, 36.0, 17.0
No.574: 0.124244, 37.0, 17.0
No.575: 0.124244, 38.0, 17.0
No.576: 0.124244, 39.0, 17.0

No.577: 0.459011, 4.0, 18.0
No.578: 0.24864, 5.0, 18.0
No.579: 0.118426, 6.0, 18.0
No.580: 0.123087, 7.0, 18.0
No.581: 0.124145, 8.0, 18.0
No.582: 0.124233, 9.0, 18.0
No.583: 0.124244, 10.0, 18.0
No.584: 0.124244, 11.0, 18.0
No.585: 0.124244, 12.0, 18.0
No.586: 0.124244, 13.0, 18.0
No.587: 0.124244, 14.0, 18.0
No.588: 0.124244, 15.0, 18.0
No.589: 0.124244, 16.0, 18.0
No.590: 0.124246, 17.0, 18.0
No.591: 0.124244, 18.0, 18.0
No.592: 0.124246, 19.0, 18.0
No.593: 0.124244, 20.0, 18.0
No.594: 0.124246, 21.0, 18.0
No.595: 0.124246, 22.0, 18.0
No.596: 0.124246, 23.0, 18.0
No.597: 0.124244, 24.0, 18.0
No.598: 0.124244, 25.0, 18.0
No.599: 0.124246, 26.0, 18.0
No.600: 0.124244, 27.0, 18.0
No.601: 0.124246, 28.0, 18.0
No.602: 0.124244, 29.0, 18.0
No.603: 0.124246, 30.0, 18.0
No.604: 0.124244, 31.0, 18.0
No.605: 0.124244, 32.0, 18.0
No.606: 0.124246, 33.0, 18.0
No.607: 0.124244, 34.0, 18.0
No.608: 0.124244, 35.0, 18.0
No.609: 0.124244, 36.0, 18.0
No.610: 0.124246, 37.0, 18.0
No.611: 0.124246, 38.0, 18.0
No.612: 0.124246, 39.0, 18.0

No.613: 0.534496, 4.0, 19.0
No.614: 0.261543, 5.0, 19.0
No.615: 0.118393, 6.0, 19.0
No.616: 0.123168, 7.0, 19.0
No.617: 0.124168, 8.0, 19.0
No.618: 0.124237, 9.0, 19.0
No.619: 0.124244, 10.0, 19.0
No.620: 0.124244, 11.0, 19.0
No.621: 0.124244, 12.0, 19.0
No.622: 0.124244, 13.0, 19.0
No.623: 0.124244, 14.0, 19.0
No.624: 0.124244, 15.0, 19.0
No.625: 0.124246, 16.0, 19.0
No.626: 0.124244, 17.0, 19.0
No.627: 0.124244, 18.0, 19.0
No.628: 0.124244, 19.0, 19.0
No.629: 0.124244, 20.0, 19.0
No.630: 0.124246, 21.0, 19.0
No.631: 0.124244, 22.0, 19.0
No.632: 0.124244, 23.0, 19.0
No.633: 0.124244, 24.0, 19.0
No.634: 0.124244, 25.0, 19.0
No.635: 0.124244, 26.0, 19.0
No.636: 0.124244, 27.0, 19.0
No.637: 0.124244, 28.0, 19.0
No.638: 0.124246, 29.0, 19.0
No.639: 0.124246, 30.0, 19.0
No.640: 0.124244, 31.0, 19.0
No.641: 0.124244, 32.0, 19.0
No.642: 0.124246, 33.0, 19.0
No.643: 0.124246, 34.0, 19.0
No.644: 0.124246, 35.0, 19.0
No.645: 0.124246, 36.0, 19.0
No.646: 0.124246, 37.0, 19.0
No.647: 0.124246, 38.0, 19.0
No.648: 0.124246, 39.0, 19.0

