#No.: ETA value [eV], r0, sigma
No.137: 0.163962, 36.0, 5.0
No.138: 0.163962, 37.0, 5.0
No.139: 0.163962, 38.0, 5.0
No.140: 0.16396, 39.0, 5.0

No.141: 0.24611, 5.0, 6.0
No.142: 0.164351, 6.0, 6.0
No.143: 0.156505, 7.0, 6.0
No.144: 0.160029, 8.0, 6.0
No.145: 0.161988, 9.0, 6.0
No.146: 0.162891, 10.0, 6.0
No.147: 0.163336, 11.0, 6.0
No.148: 0.163594, 12.0, 6.0
No.149: 0.163758, 13.0, 6.0
No.150: 0.163829, 14.0, 6.0
No.151: 0.16389, 15.0, 6.0
No.152: 0.163949, 16.0, 6.0
No.153: 0.163966, 17.0, 6.0
No.154: 0.163964, 18.0, 6.0
No.155: 0.163957, 19.0, 6.0
No.156: 0.163962, 20.0, 6.0
No.157: 0.163966, 21.0, 6.0
No.158: 0.163964, 22.0, 6.0
No.159: 0.163964, 23.0, 6.0
No.160: 0.163957, 24.0, 6.0
No.161: 0.163962, 25.0, 6.0
No.162: 0.163962, 26.0, 6.0
No.163: 0.163962, 27.0, 6.0
No.164: 0.16396, 28.0, 6.0
No.165: 0.16396, 29.0, 6.0
No.166: 0.163962, 30.0, 6.0
No.167: 0.16396, 31.0, 6.0
No.168: 0.16396, 32.0, 6.0
No.169: 0.163962, 33.0, 6.0
No.170: 0.163962, 34.0, 6.0
No.171: 0.16396, 35.0, 6.0
No.172: 0.16396, 36.0, 6.0
No.173: 0.16396, 37.0, 6.0
No.174: 0.163962, 38.0, 6.0
No.175: 0.16396, 39.0, 6.0

No.176: 0.229771, 5.0, 7.0
No.177: 0.158527, 6.0, 7.0
No.178: 0.158663, 7.0, 7.0
No.179: 0.161747, 8.0, 7.0
No.180: 0.162943, 9.0, 7.0
No.181: 0.163468, 10.0, 7.0
No.182: 0.163731, 11.0, 7.0
No.183: 0.163847, 12.0, 7.0
No.184: 0.163917, 13.0, 7.0
No.185: 0.163971, 14.0, 7.0
No.186: 0.16396, 15.0, 7.0
No.187: 0.163962, 16.0, 7.0
No.188: 0.163966, 17.0, 7.0
No.189: 99999.999, 18.0, 7.0
No.190: 0.163957, 19.0, 7.0
No.191: 0.163962, 20.0, 7.0
No.192: 0.163962, 21.0, 7.0
No.193: 0.16396, 22.0, 7.0
No.194: 0.16396, 23.0, 7.0
No.195: 0.16396, 24.0, 7.0
No.196: 0.163962, 25.0, 7.0
No.197: 0.163962, 26.0, 7.0
No.198: 0.16396, 27.0, 7.0
No.199: 0.16396, 28.0, 7.0
No.200: 0.16396, 29.0, 7.0
No.201: 0.16396, 30.0, 7.0
No.202: 0.16396, 31.0, 7.0
No.203: 0.16396, 32.0, 7.0
No.204: 0.16396, 33.0, 7.0
No.205: 0.16396, 34.0, 7.0
No.206: 0.16396, 35.0, 7.0
No.207: 99999.999, 36.0, 7.0
No.208: 0.16396, 37.0, 7.0
No.209: 0.16396, 38.0, 7.0
No.210: 0.16396, 39.0, 7.0

No.211: 0.218578, 5.0, 8.0
No.212: 0.156611, 6.0, 8.0
No.213: 0.160381, 7.0, 8.0
No.214: 0.16267, 8.0, 8.0
No.215: 0.163439, 9.0, 8.0
No.216: 0.163758, 10.0, 8.0
No.217: 0.16389, 11.0, 8.0
No.218: 0.163971, 12.0, 8.0
No.219: 0.163962, 13.0, 8.0
No.220: 0.16396, 14.0, 8.0
No.221: 0.163964, 15.0, 8.0
No.222: 0.163957, 16.0, 8.0
No.223: 0.163962, 17.0, 8.0
No.224: 0.16396, 18.0, 8.0
No.225: 0.16396, 19.0, 8.0
No.226: 0.163962, 20.0, 8.0
No.227: 0.16396, 21.0, 8.0
No.228: 0.16396, 22.0, 8.0
No.229: 0.16396, 23.0, 8.0
No.230: 0.16396, 24.0, 8.0
No.231: 0.16396, 25.0, 8.0
No.232: 0.16396, 26.0, 8.0
No.233: 0.16396, 27.0, 8.0
No.234: 0.16396, 28.0, 8.0
No.235: 0.16396, 29.0, 8.0
No.236: 0.16396, 30.0, 8.0
No.237: 0.16396, 31.0, 8.0
No.238: 0.16396, 32.0, 8.0
No.239: 0.16396, 33.0, 8.0
No.240: 0.16396, 34.0, 8.0
No.241: 0.16396, 35.0, 8.0
No.242: 0.16396, 36.0, 8.0
No.243: 0.16396, 37.0, 8.0
No.244: 0.16396, 38.0, 8.0
No.245: 0.16396, 39.0, 8.0

No.246: 0.211411, 5.0, 9.0
No.247: 0.156453, 6.0, 9.0
No.248: 0.161456, 7.0, 9.0
No.249: 0.163201, 8.0, 9.0
No.250: 99999.999, 9.0, 9.0
No.251: 0.163887, 10.0, 9.0
No.252: 0.163971, 11.0, 9.0
No.253: 0.16396, 12.0, 9.0
No.254: 0.163964, 13.0, 9.0
No.255: 0.163957, 14.0, 9.0
No.256: 0.163962, 15.0, 9.0
No.257: 0.16396, 16.0, 9.0
No.258: 0.16396, 17.0, 9.0
No.259: 0.16396, 18.0, 9.0
No.260: 0.16396, 19.0, 9.0
No.261: 0.16396, 20.0, 9.0
No.262: 0.16396, 21.0, 9.0
No.263: 0.16396, 22.0, 9.0
No.264: 0.16396, 23.0, 9.0
No.265: 0.16396, 24.0, 9.0
No.266: 0.16396, 25.0, 9.0
No.267: 0.16396, 26.0, 9.0
No.268: 0.16396, 27.0, 9.0
No.269: 0.16396, 28.0, 9.0
No.270: 0.16396, 29.0, 9.0
No.271: 0.16396, 30.0, 9.0
No.272: 0.16396, 31.0, 9.0
No.273: 0.16396, 32.0, 9.0
No.274: 0.16396, 33.0, 9.0
No.275: 0.16396, 34.0, 9.0
No.276: 0.16396, 35.0, 9.0
No.277: 0.16396, 36.0, 9.0
No.278: 0.16396, 37.0, 9.0
No.279: 0.16396, 38.0, 9.0
No.280: 0.16396, 39.0, 9.0

No.281: 0.207516, 5.0, 10.0
No.282: 0.157018, 6.0, 10.0
No.283: 0.162192, 7.0, 10.0
No.284: 0.163459, 8.0, 10.0
No.285: 0.163815, 9.0, 10.0
No.286: 0.163967, 10.0, 10.0
No.287: 0.16396, 11.0, 10.0
No.288: 0.163964, 12.0, 10.0
No.289: 0.163962, 13.0, 10.0
No.290: 0.16396, 14.0, 10.0
No.291: 0.16396, 15.0, 10.0
No.292: 0.16396, 16.0, 10.0
No.293: 0.16396, 17.0, 10.0
No.294: 0.16396, 18.0, 10.0
No.295: 0.16396, 19.0, 10.0
No.296: 0.16396, 20.0, 10.0
No.297: 0.16396, 21.0, 10.0
No.298: 0.16396, 22.0, 10.0
No.299: 0.16396, 23.0, 10.0
No.300: 0.16396, 24.0, 10.0
No.301: 0.16396, 25.0, 10.0
No.302: 0.16396, 26.0, 10.0
No.303: 0.16396, 27.0, 10.0
No.304: 0.16396, 28.0, 10.0
No.305: 0.16396, 29.0, 10.0
No.306: 0.16396, 30.0, 10.0
No.307: 0.16396, 31.0, 10.0
No.308: 0.16396, 32.0, 10.0
No.309: 0.16396, 33.0, 10.0
No.310: 0.16396, 34.0, 10.0
No.311: 0.16396, 35.0, 10.0
No.312: 0.16396, 36.0, 10.0
No.313: 0.16396, 37.0, 10.0
No.314: 0.16396, 38.0, 10.0
No.315: 0.16396, 39.0, 10.0

No.316: 0.206531, 5.0, 11.0
No.317: 0.157705, 6.0, 11.0
No.318: 0.162663, 7.0, 11.0
No.319: 0.16363, 8.0, 11.0
No.320: 0.163905, 9.0, 11.0
No.321: 0.163962, 10.0, 11.0
No.322: 0.163964, 11.0, 11.0
No.323: 0.163962, 12.0, 11.0
No.324: 0.163962, 13.0, 11.0
No.325: 0.163962, 14.0, 11.0
No.326: 0.163962, 15.0, 11.0
No.327: 0.16396, 16.0, 11.0
No.328: 0.16396, 17.0, 11.0
No.329: 0.16396, 18.0, 11.0
No.330: 0.16396, 19.0, 11.0
No.331: 0.16396, 20.0, 11.0
No.332: 0.16396, 21.0, 11.0
No.333: 0.16396, 22.0, 11.0
No.334: 0.16396, 23.0, 11.0
No.335: 0.16396, 24.0, 11.0
No.336: 0.16396, 25.0, 11.0
No.337: 0.16396, 26.0, 11.0
No.338: 0.16396, 27.0, 11.0
No.339: 0.16396, 28.0, 11.0
No.340: 0.16396, 29.0, 11.0
No.341: 0.16396, 30.0, 11.0
No.342: 0.16396, 31.0, 11.0
No.343: 0.16396, 32.0, 11.0
No.344: 0.16396, 33.0, 11.0
No.345: 0.16396, 34.0, 11.0
No.346: 0.16396, 35.0, 11.0
No.347: 0.16396, 36.0, 11.0
No.348: 0.16396, 37.0, 11.0
No.349: 0.16396, 38.0, 11.0
No.350: 0.16396, 39.0, 11.0

No.351: 0.208181, 5.0, 12.0
No.352: 0.158382, 6.0, 12.0
No.353: 0.162936, 7.0, 12.0
No.354: 0.163727, 8.0, 12.0
No.355: 0.163978, 9.0, 12.0
No.356: 0.163964, 10.0, 12.0
No.357: 0.163962, 11.0, 12.0
No.358: 0.16396, 12.0, 12.0
No.359: 0.163962, 13.0, 12.0
No.360: 0.16396, 14.0, 12.0
No.361: 0.16396, 15.0, 12.0
No.362: 0.16396, 16.0, 12.0
No.363: 0.16396, 17.0, 12.0
No.364: 0.16396, 18.0, 12.0
No.365: 0.16396, 19.0, 12.0
No.366: 0.16396, 20.0, 12.0
No.367: 0.16396, 21.0, 12.0
No.368: 0.16396, 22.0, 12.0
No.369: 0.16396, 23.0, 12.0
No.370: 0.16396, 24.0, 12.0
No.371: 0.16396, 25.0, 12.0
No.372: 0.16396, 26.0, 12.0
No.373: 0.16396, 27.0, 12.0
No.374: 0.16396, 28.0, 12.0
No.375: 0.16396, 29.0, 12.0
No.376: 0.16396, 30.0, 12.0
No.377: 0.16396, 31.0, 12.0
No.378: 0.16396, 32.0, 12.0
No.379: 0.16396, 33.0, 12.0
No.380: 0.16396, 34.0, 12.0
No.381: 0.16396, 35.0, 12.0
No.382: 0.16396, 36.0, 12.0
No.383: 0.16396, 37.0, 12.0
No.384: 0.16396, 38.0, 12.0
No.385: 0.16396, 39.0, 12.0

No.386: 0.212151, 5.0, 13.0
No.387: 0.158849, 6.0, 13.0
No.388: 0.163164, 7.0, 13.0
No.389: 0.163836, 8.0, 13.0
No.390: 0.163964, 9.0, 13.0
No.391: 0.163964, 10.0, 13.0
No.392: 0.16396, 11.0, 13.0
No.393: 0.163962, 12.0, 13.0
No.394: 0.16396, 13.0, 13.0
No.395: 0.16396, 14.0, 13.0
No.396: 0.16396, 15.0, 13.0
No.397: 0.16396, 16.0, 13.0
No.398: 0.16396, 17.0, 13.0
No.399: 0.16396, 18.0, 13.0
No.400: 0.16396, 19.0, 13.0
No.401: 0.16396, 20.0, 13.0
No.402: 0.16396, 21.0, 13.0
No.403: 0.16396, 22.0, 13.0
No.404: 0.16396, 23.0, 13.0
No.405: 0.16396, 24.0, 13.0
No.406: 0.16396, 25.0, 13.0
No.407: 0.16396, 26.0, 13.0
No.408: 0.16396, 27.0, 13.0
No.409: 0.16396, 28.0, 13.0
No.410: 0.16396, 29.0, 13.0
No.411: 0.16396, 30.0, 13.0
No.412: 0.16396, 31.0, 13.0
No.413: 0.16396, 32.0, 13.0
No.414: 0.16396, 33.0, 13.0
No.415: 0.16396, 34.0, 13.0
No.416: 0.16396, 35.0, 13.0
No.417: 0.16396, 36.0, 13.0
No.418: 0.16396, 37.0, 13.0
No.419: 0.16396, 38.0, 13.0
No.420: 0.16396, 39.0, 13.0

No.421: 0.218446, 5.0, 14.0
No.422: 0.159106, 6.0, 14.0
No.423: 0.163299, 7.0, 14.0
No.424: 0.163894, 8.0, 14.0
No.425: 0.16396, 9.0, 14.0
No.426: 0.163962, 10.0, 14.0
No.427: 0.16396, 11.0, 14.0
No.428: 0.16396, 12.0, 14.0
No.429: 0.16396, 13.0, 14.0
No.430: 0.16396, 14.0, 14.0
No.431: 0.16396, 15.0, 14.0
No.432: 0.16396, 16.0, 14.0
No.433: 0.16396, 17.0, 14.0
No.434: 0.16396, 18.0, 14.0
No.435: 0.16396, 19.0, 14.0
No.436: 0.16396, 20.0, 14.0
No.437: 0.16396, 21.0, 14.0
No.438: 0.16396, 22.0, 14.0
No.439: 0.16396, 23.0, 14.0
No.440: 0.16396, 24.0, 14.0
No.441: 0.16396, 25.0, 14.0
No.442: 0.16396, 26.0, 14.0
No.443: 0.16396, 27.0, 14.0
No.444: 0.16396, 28.0, 14.0
No.445: 0.16396, 29.0, 14.0
No.446: 0.16396, 30.0, 14.0
No.447: 0.16396, 31.0, 14.0
No.448: 0.16396, 32.0, 14.0
No.449: 0.16396, 33.0, 14.0
No.450: 0.16396, 34.0, 14.0
No.451: 0.16396, 35.0, 14.0
No.452: 0.16396, 36.0, 14.0
No.453: 0.16396, 37.0, 14.0
No.454: 0.16396, 38.0, 14.0
No.455: 0.16396, 39.0, 14.0

No.456: 0.226712, 5.0, 15.0
No.457: 0.159243, 6.0, 15.0
No.458: 0.163436, 7.0, 15.0
No.459: 0.16393, 8.0, 15.0
No.460: 0.163964, 9.0, 15.0
No.461: 0.16396, 10.0, 15.0
No.462: 0.163962, 11.0, 15.0
No.463: 0.16396, 12.0, 15.0
No.464: 0.16396, 13.0, 15.0
No.465: 0.16396, 14.0, 15.0
No.466: 0.16396, 15.0, 15.0
No.467: 0.16396, 16.0, 15.0
No.468: 0.16396, 17.0, 15.0
No.469: 0.16396, 18.0, 15.0
No.470: 0.16396, 19.0, 15.0
No.471: 0.16396, 20.0, 15.0
No.472: 0.16396, 21.0, 15.0
No.473: 0.16396, 22.0, 15.0
No.474: 0.16396, 23.0, 15.0
No.475: 0.16396, 24.0, 15.0
No.476: 0.16396, 25.0, 15.0
No.477: 0.16396, 26.0, 15.0
No.478: 0.16396, 27.0, 15.0
No.479: 0.16396, 28.0, 15.0
No.480: 0.16396, 29.0, 15.0
No.481: 0.16396, 30.0, 15.0
No.482: 0.16396, 31.0, 15.0
No.483: 0.16396, 32.0, 15.0
No.484: 0.16396, 33.0, 15.0
No.485: 0.16396, 34.0, 15.0
No.486: 0.16396, 35.0, 15.0
No.487: 0.16396, 36.0, 15.0
No.488: 0.16396, 37.0, 15.0
No.489: 0.16396, 38.0, 15.0
No.490: 0.16396, 39.0, 15.0

No.491: 0.236861, 5.0, 16.0
No.492: 0.159256, 6.0, 16.0
No.493: 0.163489, 7.0, 16.0
No.494: 0.16396, 8.0, 16.0
No.495: 0.163964, 9.0, 16.0
No.496: 0.16396, 10.0, 16.0
No.497: 0.16396, 11.0, 16.0
No.498: 0.16396, 12.0, 16.0
No.499: 0.16396, 13.0, 16.0
No.500: 0.16396, 14.0, 16.0
No.501: 0.16396, 15.0, 16.0
No.502: 0.16396, 16.0, 16.0
No.503: 0.16396, 17.0, 16.0
No.504: 0.16396, 18.0, 16.0
No.505: 0.16396, 19.0, 16.0
No.506: 0.16396, 20.0, 16.0
No.507: 0.16396, 21.0, 16.0
No.508: 0.16396, 22.0, 16.0
No.509: 0.16396, 23.0, 16.0
No.510: 0.16396, 24.0, 16.0
No.511: 0.16396, 25.0, 16.0
No.512: 0.16396, 26.0, 16.0
No.513: 0.16396, 27.0, 16.0
No.514: 0.16396, 28.0, 16.0
No.515: 0.16396, 29.0, 16.0
No.516: 0.16396, 30.0, 16.0
No.517: 0.16396, 31.0, 16.0
No.518: 0.16396, 32.0, 16.0
No.519: 0.16396, 33.0, 16.0
No.520: 0.16396, 34.0, 16.0
No.521: 0.16396, 35.0, 16.0
No.522: 0.16396, 36.0, 16.0
No.523: 0.16396, 37.0, 16.0
No.524: 0.16396, 38.0, 16.0
No.525: 0.16396, 39.0, 16.0

No.526: 0.24838, 5.0, 17.0
No.527: 0.159167, 6.0, 17.0
No.528: 0.163578, 7.0, 17.0
No.529: 0.163971, 8.0, 17.0
No.530: 0.163962, 9.0, 17.0
No.531: 0.163962, 10.0, 17.0
No.532: 0.16396, 11.0, 17.0
No.533: 0.16396, 12.0, 17.0
No.534: 0.16396, 13.0, 17.0
No.535: 0.16396, 14.0, 17.0
No.536: 0.16396, 15.0, 17.0
No.537: 0.16396, 16.0, 17.0
No.538: 0.16396, 17.0, 17.0
No.539: 0.16396, 18.0, 17.0
No.540: 0.16396, 19.0, 17.0
No.541: 0.16396, 20.0, 17.0
No.542: 0.16396, 21.0, 17.0
No.543: 0.16396, 22.0, 17.0
No.544: 0.16396, 23.0, 17.0
No.545: 0.16396, 24.0, 17.0
No.546: 0.16396, 25.0, 17.0
No.547: 0.16396, 26.0, 17.0
No.548: 0.16396, 27.0, 17.0
No.549: 0.16396, 28.0, 17.0
No.550: 0.16396, 29.0, 17.0
No.551: 0.16396, 30.0, 17.0
No.552: 0.16396, 31.0, 17.0
No.553: 0.16396, 32.0, 17.0
No.554: 0.16396, 33.0, 17.0
No.555: 0.16396, 34.0, 17.0
No.556: 0.16396, 35.0, 17.0
No.557: 0.16396, 36.0, 17.0
No.558: 0.16396, 37.0, 17.0
No.559: 0.16396, 38.0, 17.0
No.560: 0.16396, 39.0, 17.0

No.561: 0.26047, 5.0, 18.0
No.562: 0.158929, 6.0, 18.0
No.563: 0.163592, 7.0, 18.0
No.564: 0.163966, 8.0, 18.0
No.565: 0.163962, 9.0, 18.0
No.566: 0.163962, 10.0, 18.0
No.567: 0.16396, 11.0, 18.0
No.568: 0.16396, 12.0, 18.0
No.569: 0.16396, 13.0, 18.0
No.570: 0.16396, 14.0, 18.0
No.571: 0.16396, 15.0, 18.0
No.572: 0.16396, 16.0, 18.0
No.573: 0.16396, 17.0, 18.0
No.574: 0.16396, 18.0, 18.0
No.575: 0.16396, 19.0, 18.0
No.576: 0.16396, 20.0, 18.0
No.577: 0.16396, 21.0, 18.0
No.578: 0.16396, 22.0, 18.0
No.579: 0.163957, 23.0, 18.0
No.580: 0.16396, 24.0, 18.0
No.581: 0.16396, 25.0, 18.0
No.582: 0.16396, 26.0, 18.0
No.583: 0.16396, 27.0, 18.0
No.584: 0.16396, 28.0, 18.0
No.585: 0.16396, 29.0, 18.0
No.586: 0.16396, 30.0, 18.0
No.587: 0.16396, 31.0, 18.0
No.588: 0.16396, 32.0, 18.0
No.589: 0.16396, 33.0, 18.0
No.590: 0.16396, 34.0, 18.0
No.591: 0.16396, 35.0, 18.0
No.592: 0.16396, 36.0, 18.0
No.593: 0.16396, 37.0, 18.0
No.594: 0.16396, 38.0, 18.0
No.595: 0.16396, 39.0, 18.0

No.596: 0.272417, 5.0, 19.0
No.597: 0.158539, 6.0, 19.0
No.598: 0.16363, 7.0, 19.0
No.599: 0.16396, 8.0, 19.0
No.600: 0.163962, 9.0, 19.0
No.601: 0.163962, 10.0, 19.0
No.602: 0.16396, 11.0, 19.0
No.603: 0.16396, 12.0, 19.0
No.604: 0.16396, 13.0, 19.0
No.605: 0.16396, 14.0, 19.0
No.606: 0.16396, 15.0, 19.0
No.607: 0.16396, 16.0, 19.0
No.608: 99999.999, 17.0, 19.0
No.609: 0.16396, 18.0, 19.0
No.610: 0.16396, 19.0, 19.0
No.611: 0.16396, 20.0, 19.0
No.612: 0.16396, 21.0, 19.0
No.613: 0.16396, 22.0, 19.0
No.614: 0.16396, 23.0, 19.0
No.615: 0.16396, 24.0, 19.0
No.616: 0.16396, 25.0, 19.0
No.617: 0.16396, 26.0, 19.0
No.618: 0.16396, 27.0, 19.0
No.619: 0.16396, 28.0, 19.0
No.620: 0.16396, 29.0, 19.0
No.621: 0.16396, 30.0, 19.0
No.622: 0.16396, 31.0, 19.0
No.623: 0.16396, 32.0, 19.0
No.624: 0.16396, 33.0, 19.0
No.625: 0.16396, 34.0, 19.0
No.626: 0.16396, 35.0, 19.0
No.627: 0.16396, 36.0, 19.0
No.628: 0.16396, 37.0, 19.0
No.629: 0.16396, 38.0, 19.0
No.630: 0.16396, 39.0, 19.0

