#No.: ETA value [eV], r0, sigma
No.72: 1.057095, 2.1, 2.2
No.73: 0.917776, 2.2, 2.2
No.74: 0.767477, 2.3000000000000003, 2.2
No.75: 0.642427, 2.4000000000000004, 2.2
No.76: 0.55723, 2.5000000000000004, 2.2
No.77: 0.504415, 2.6000000000000005, 2.2
No.78: 0.459739, 2.7000000000000006, 2.2
No.79: 0.459739, 2.8000000000000007, 2.2
No.80: 0.459739, 2.900000000000001, 2.2
No.81: 0.371453, 3.000000000000001, 2.2
No.82: 0.353388, 3.100000000000001, 2.2
No.83: 0.337091, 3.200000000000001, 2.2
No.84: 0.322279, 3.300000000000001, 2.2
No.85: 0.309135, 3.4000000000000012, 2.2
No.86: 0.297083, 3.5000000000000013, 2.2
No.87: 0.286036, 3.6000000000000014, 2.2
No.88: 0.276083, 3.7000000000000015, 2.2
No.89: 0.266856, 3.8000000000000016, 2.2
No.90: 0.258505, 3.9000000000000017, 2.2
No.91: 0.250655, 4.000000000000002, 2.2
No.92: 0.24347, 4.100000000000001, 2.2
No.93: 0.24347, 4.200000000000002, 2.2
No.94: 0.237872, 4.3000000000000025, 2.2
No.95: 0.238, 4.400000000000002, 2.2
No.96: 0.238891, 4.500000000000002, 2.2
No.97: 0.240397, 4.600000000000002, 2.2
No.98: 0.242388, 4.700000000000003, 2.2
No.99: 0.24469, 4.8000000000000025, 2.2
No.100: 0.247431, 4.900000000000002, 2.2
No.101: 0.250544, 5.000000000000003, 2.2
No.102: 0.253994, 5.100000000000003, 2.2
No.103: 0.245618, 5.200000000000003, 2.2
No.104: 0.238275, 5.3000000000000025, 2.2
No.105: 0.231847, 5.400000000000003, 2.2
No.106: 0.226211, 5.5000000000000036, 2.2
No.107: 0.221311, 5.600000000000003, 2.2
No.108: 0.216955, 5.700000000000003, 2.2
No.109: 0.213351, 5.800000000000003, 2.2
No.110: 0.210344, 5.900000000000004, 2.2
No.111: 0.208069, 6.0000000000000036, 2.2
No.112: 0.206106, 6.100000000000003, 2.2
No.113: 0.204577, 6.200000000000004, 2.2
No.114: 0.203523, 6.300000000000004, 2.2
No.115: 0.20279, 6.400000000000004, 2.2
No.116: 0.202343, 6.5000000000000036, 2.2
No.117: 0.202235, 6.600000000000004, 2.2
No.118: 0.202242, 6.700000000000005, 2.2
No.119: 0.202502, 6.800000000000004, 2.2
No.120: 0.202891, 6.900000000000004, 2.2
No.121: 0.203481, 7.000000000000004, 2.2
No.122: 0.204154, 7.100000000000005, 2.2
No.123: 0.204951, 7.200000000000005, 2.2
No.124: 0.205866, 7.300000000000004, 2.2
No.125: 0.207059, 7.400000000000005, 2.2
No.126: 0.20839, 7.500000000000005, 2.2
No.127: 0.209828, 7.600000000000005, 2.2
No.128: 0.211574, 7.700000000000005, 2.2
No.129: 0.213799, 7.800000000000005, 2.2
No.130: 0.216758, 7.900000000000006, 2.2
No.131: 0.219842, 8.000000000000005, 2.2
No.132: 0.222944, 8.100000000000005, 2.2
No.133: 0.2262, 8.200000000000006, 2.2
No.134: 0.229469, 8.300000000000006, 2.2
No.135: 0.232828, 8.400000000000006, 2.2
No.136: 0.236181, 8.500000000000005, 2.2
No.137: 0.239718, 8.600000000000005, 2.2
No.138: 0.243323, 8.700000000000006, 2.2
No.139: 0.247045, 8.800000000000006, 2.2
No.140: 0.250877, 8.900000000000006, 2.2

No.141: 1.470256, 2.0, 2.4000000000000004
No.142: 1.251237, 2.1, 2.4000000000000004
No.143: 1.050748, 2.2, 2.4000000000000004
No.144: 0.905417, 2.3000000000000003, 2.4000000000000004
No.145: 0.750672, 2.4000000000000004, 2.4000000000000004
No.146: 0.62923, 2.5000000000000004, 2.4000000000000004
No.147: 0.549657, 2.6000000000000005, 2.4000000000000004
No.148: 0.549657, 2.7000000000000006, 2.4000000000000004
No.149: 0.452975, 2.8000000000000007, 2.4000000000000004
No.150: 0.452975, 2.900000000000001, 2.4000000000000004
No.151: 0.389075, 3.000000000000001, 2.4000000000000004
No.152: 0.368063, 3.100000000000001, 2.4000000000000004
No.153: 0.350459, 3.200000000000001, 2.4000000000000004
No.154: 0.333856, 3.300000000000001, 2.4000000000000004
No.155: 0.31917, 3.4000000000000012, 2.4000000000000004
No.156: 0.305977, 3.5000000000000013, 2.4000000000000004
No.157: 0.29406, 3.6000000000000014, 2.4000000000000004
No.158: 0.283005, 3.7000000000000015, 2.4000000000000004
No.159: 0.27301, 3.8000000000000016, 2.4000000000000004
No.160: 0.263769, 3.9000000000000017, 2.4000000000000004
No.161: 0.255306, 4.000000000000002, 2.4000000000000004
No.162: 0.247413, 4.100000000000001, 2.4000000000000004
No.163: 0.240199, 4.200000000000002, 2.4000000000000004
No.164: 0.236507, 4.3000000000000025, 2.4000000000000004
No.165: 0.236487, 4.400000000000002, 2.4000000000000004
No.166: 0.237575, 4.500000000000002, 2.4000000000000004
No.167: 0.239337, 4.600000000000002, 2.4000000000000004
No.168: 0.24172, 4.700000000000003, 2.4000000000000004
No.169: 0.244511, 4.8000000000000025, 2.4000000000000004
No.170: 0.244511, 4.900000000000002, 2.4000000000000004
No.171: 0.251535, 5.000000000000003, 2.4000000000000004
No.172: 0.255232, 5.100000000000003, 2.4000000000000004
No.173: 0.245655, 5.200000000000003, 2.4000000000000004
No.174: 0.237381, 5.3000000000000025, 2.4000000000000004
No.175: 0.230252, 5.400000000000003, 2.4000000000000004
No.176: 0.224113, 5.5000000000000036, 2.4000000000000004
No.177: 0.218753, 5.600000000000003, 2.4000000000000004
No.178: 0.214161, 5.700000000000003, 2.4000000000000004
No.179: 0.210249, 5.800000000000003, 2.4000000000000004
No.180: 0.207135, 5.900000000000004, 2.4000000000000004
No.181: 0.204693, 6.0000000000000036, 2.4000000000000004
No.182: 0.202788, 6.100000000000003, 2.4000000000000004
No.183: 0.201265, 6.200000000000004, 2.4000000000000004
No.184: 0.200307, 6.300000000000004, 2.4000000000000004
No.185: 0.199685, 6.400000000000004, 2.4000000000000004
No.186: 0.199355, 6.5000000000000036, 2.4000000000000004
No.187: 0.199358, 6.600000000000004, 2.4000000000000004
No.188: 0.199546, 6.700000000000005, 2.4000000000000004
No.189: 0.199972, 6.800000000000004, 2.4000000000000004
No.190: 0.200533, 6.900000000000004, 2.4000000000000004
No.191: 0.201248, 7.000000000000004, 2.4000000000000004
No.192: 0.20214, 7.100000000000005, 2.4000000000000004
No.193: 0.20326, 7.200000000000005, 2.4000000000000004
No.194: 0.204586, 7.300000000000004, 2.4000000000000004
No.195: 0.206093, 7.400000000000005, 2.4000000000000004
No.196: 0.207728, 7.500000000000005, 2.4000000000000004
No.197: 0.209889, 7.600000000000005, 2.4000000000000004
No.198: 0.212965, 7.700000000000005, 2.4000000000000004
No.199: 0.216222, 7.800000000000005, 2.4000000000000004
No.200: 0.219622, 7.900000000000006, 2.4000000000000004
No.201: 0.223065, 8.000000000000005, 2.4000000000000004
No.202: 0.226638, 8.100000000000005, 2.4000000000000004
No.203: 0.230254, 8.200000000000006, 2.4000000000000004
No.204: 0.233905, 8.300000000000006, 2.4000000000000004
No.205: 0.237783, 8.400000000000006, 2.4000000000000004
No.206: 0.241708, 8.500000000000005, 2.4000000000000004
No.207: 0.245853, 8.600000000000005, 2.4000000000000004
No.208: 0.250015, 8.700000000000006, 2.4000000000000004
No.209: 0.25429, 8.800000000000006, 2.4000000000000004
No.210: 0.258675, 8.900000000000006, 2.4000000000000004

No.211: 1.53438, 2.0, 2.6000000000000005
No.212: 1.456683, 2.1, 2.6000000000000005
No.213: 1.20362, 2.2, 2.6000000000000005
No.214: 1.021372, 2.3000000000000003, 2.6000000000000005
No.215: 0.866409, 2.4000000000000004, 2.6000000000000005
No.216: 0.709323, 2.5000000000000004, 2.6000000000000005
No.217: 0.601623, 2.6000000000000005, 2.6000000000000005
No.218: 0.534323, 2.7000000000000006, 2.6000000000000005
No.219: 0.484092, 2.8000000000000007, 2.6000000000000005
No.220: 0.438491, 2.900000000000001, 2.6000000000000005
No.221: 0.406107, 3.000000000000001, 2.6000000000000005
No.222: 0.381926, 3.100000000000001, 2.6000000000000005
No.223: 0.362247, 3.200000000000001, 2.6000000000000005
No.224: 0.344483, 3.300000000000001, 2.6000000000000005
No.225: 0.328198, 3.4000000000000012, 2.6000000000000005
No.226: 0.314034, 3.5000000000000013, 2.6000000000000005
No.227: 0.301226, 3.6000000000000014, 2.6000000000000005
No.228: 0.289314, 3.7000000000000015, 2.6000000000000005
No.229: 0.278533, 3.8000000000000016, 2.6000000000000005
No.230: 0.268498, 3.9000000000000017, 2.6000000000000005
No.231: 0.259421, 4.000000000000002, 2.6000000000000005
No.232: 0.251007, 4.100000000000001, 2.6000000000000005
No.233: 0.243137, 4.200000000000002, 2.6000000000000005
No.234: 0.236011, 4.3000000000000025, 2.6000000000000005
No.235: 0.235136, 4.400000000000002, 2.6000000000000005
No.236: 0.236401, 4.500000000000002, 2.6000000000000005
No.237: 0.238522, 4.600000000000002, 2.6000000000000005
No.238: 0.241422, 4.700000000000003, 2.6000000000000005
No.239: 0.244841, 4.8000000000000025, 2.6000000000000005
No.240: 0.248669, 4.900000000000002, 2.6000000000000005
No.241: 0.253099, 5.000000000000003, 2.6000000000000005
No.242: 0.255435, 5.100000000000003, 2.6000000000000005
No.243: 0.244789, 5.200000000000003, 2.6000000000000005
No.244: 0.235734, 5.3000000000000025, 2.6000000000000005
No.245: 0.228046, 5.400000000000003, 2.6000000000000005
No.246: 0.221432, 5.5000000000000036, 2.6000000000000005
No.247: 0.215784, 5.600000000000003, 2.6000000000000005
No.248: 0.210997, 5.700000000000003, 2.6000000000000005
No.249: 0.206877, 5.800000000000003, 2.6000000000000005
No.250: 0.203738, 5.900000000000004, 2.6000000000000005
No.251: 0.201302, 6.0000000000000036, 2.6000000000000005
No.252: 0.199476, 6.100000000000003, 2.6000000000000005
No.253: 0.198051, 6.200000000000004, 2.6000000000000005
No.254: 0.197218, 6.300000000000004, 2.6000000000000005
No.255: 0.196812, 6.400000000000004, 2.6000000000000005
No.256: 0.196666, 6.5000000000000036, 2.6000000000000005
No.257: 0.196761, 6.600000000000004, 2.6000000000000005
No.258: 0.197171, 6.700000000000005, 2.6000000000000005
No.259: 0.19777, 6.800000000000004, 2.6000000000000005
No.260: 0.198465, 6.900000000000004, 2.6000000000000005
No.261: 0.199584, 7.000000000000004, 2.6000000000000005
No.262: 0.200808, 7.100000000000005, 2.6000000000000005
No.263: 0.202273, 7.200000000000005, 2.6000000000000005
No.264: 0.203979, 7.300000000000004, 2.6000000000000005
No.265: 0.205816, 7.400000000000005, 2.6000000000000005
No.266: 0.208783, 7.500000000000005, 2.6000000000000005
No.267: 0.212204, 7.600000000000005, 2.6000000000000005
No.268: 0.215751, 7.700000000000005, 2.6000000000000005
No.269: 0.219438, 7.800000000000005, 2.6000000000000005
No.270: 0.223238, 7.900000000000006, 2.6000000000000005
No.271: 0.227099, 8.000000000000005, 2.6000000000000005
No.272: 0.230986, 8.100000000000005, 2.6000000000000005
No.273: 0.235133, 8.200000000000006, 2.6000000000000005
No.274: 0.239407, 8.300000000000006, 2.6000000000000005
No.275: 0.243811, 8.400000000000006, 2.6000000000000005
No.276: 0.248342, 8.500000000000005, 2.6000000000000005
No.277: 0.25298, 8.600000000000005, 2.6000000000000005
No.278: 0.257818, 8.700000000000006, 2.6000000000000005
No.279: 0.262769, 8.800000000000006, 2.6000000000000005
No.280: 0.267824, 8.900000000000006, 2.6000000000000005

No.281: 1.583476, 2.0, 2.8000000000000007
No.282: 1.513875, 2.1, 2.8000000000000007
No.283: 1.38818, 2.2, 2.8000000000000007
No.284: 1.122108, 2.3000000000000003, 2.8000000000000007
No.285: 0.96897, 2.4000000000000004, 2.8000000000000007
No.286: 0.803176, 2.5000000000000004, 2.8000000000000007
No.287: 0.659096, 2.6000000000000005, 2.8000000000000007
No.288: 0.567716, 2.7000000000000006, 2.8000000000000007
No.289: 0.512447, 2.8000000000000007, 2.8000000000000007
No.290: 0.461344, 2.900000000000001, 2.8000000000000007
No.291: 0.422439, 3.000000000000001, 2.8000000000000007
No.292: 0.394554, 3.100000000000001, 2.8000000000000007
No.293: 0.373005, 3.200000000000001, 2.8000000000000007
No.294: 0.35403, 3.300000000000001, 2.8000000000000007
No.295: 0.336651, 3.4000000000000012, 2.8000000000000007
No.296: 0.32132, 3.5000000000000013, 2.8000000000000007
No.297: 0.307713, 3.6000000000000014, 2.8000000000000007
No.298: 0.295118, 3.7000000000000015, 2.8000000000000007
No.299: 0.283518, 3.8000000000000016, 2.8000000000000007
No.300: 0.272868, 3.9000000000000017, 2.8000000000000007
No.301: 0.263143, 4.000000000000002, 2.8000000000000007
No.302: 0.254225, 4.100000000000001, 2.8000000000000007
No.303: 0.245749, 4.200000000000002, 2.8000000000000007
No.304: 0.238111, 4.3000000000000025, 2.8000000000000007
No.305: 0.233961, 4.400000000000002, 2.8000000000000007
No.306: 0.235496, 4.500000000000002, 2.8000000000000007
No.307: 0.238021, 4.600000000000002, 2.8000000000000007
No.308: 0.241572, 4.700000000000003, 2.8000000000000007
No.309: 0.245611, 4.8000000000000025, 2.8000000000000007
No.310: 0.250164, 4.900000000000002, 2.8000000000000007
No.311: 0.255213, 5.000000000000003, 2.8000000000000007
No.312: 0.254798, 5.100000000000003, 2.8000000000000007
No.313: 0.243144, 5.200000000000003, 2.8000000000000007
No.314: 0.243144, 5.3000000000000025, 2.8000000000000007
No.315: 0.225205, 5.400000000000003, 2.8000000000000007
No.316: 0.218299, 5.5000000000000036, 2.8000000000000007
No.317: 0.212429, 5.600000000000003, 2.8000000000000007
No.318: 0.207583, 5.700000000000003, 2.8000000000000007
No.319: 0.203422, 5.800000000000003, 2.8000000000000007
No.320: 0.200338, 5.900000000000004, 2.8000000000000007
No.321: 0.197958, 6.0000000000000036, 2.8000000000000007
No.322: 0.19622, 6.100000000000003, 2.8000000000000007
No.323: 0.194987, 6.200000000000004, 2.8000000000000007
No.324: 0.194394, 6.300000000000004, 2.8000000000000007
No.325: 0.194104, 6.400000000000004, 2.8000000000000007
No.326: 0.19417, 6.5000000000000036, 2.8000000000000007
No.327: 0.194515, 6.600000000000004, 2.8000000000000007
No.328: 0.195091, 6.700000000000005, 2.8000000000000007
No.329: 0.195996, 6.800000000000004, 2.8000000000000007
No.330: 0.197084, 6.900000000000004, 2.8000000000000007
No.331: 0.198531, 7.000000000000004, 2.8000000000000007
No.332: 0.200108, 7.100000000000005, 2.8000000000000007
No.333: 0.201853, 7.200000000000005, 2.8000000000000007
No.334: 0.204278, 7.300000000000004, 2.8000000000000007
No.335: 0.207656, 7.400000000000005, 2.8000000000000007
No.336: 0.211328, 7.500000000000005, 2.8000000000000007
No.337: 0.215166, 7.600000000000005, 2.8000000000000007
No.338: 0.219168, 7.700000000000005, 2.8000000000000007
No.339: 0.22319, 7.800000000000005, 2.8000000000000007
No.340: 0.227367, 7.900000000000006, 2.8000000000000007
No.341: 0.231736, 8.000000000000005, 2.8000000000000007
No.342: 0.236214, 8.100000000000005, 2.8000000000000007
No.343: 0.240852, 8.200000000000006, 2.8000000000000007
No.344: 0.245674, 8.300000000000006, 2.8000000000000007
No.345: 0.250743, 8.400000000000006, 2.8000000000000007
No.346: 0.255897, 8.500000000000005, 2.8000000000000007
No.347: 0.261268, 8.600000000000005, 2.8000000000000007
No.348: 0.266681, 8.700000000000006, 2.8000000000000007
No.349: 0.272339, 8.800000000000006, 2.8000000000000007
No.350: 0.278174, 8.900000000000006, 2.8000000000000007

No.351: 1.620931, 2.0, 3.000000000000001
No.352: 1.55843, 2.1, 3.000000000000001
No.353: 1.482707, 2.2, 3.000000000000001
No.354: 1.275694, 2.3000000000000003, 3.000000000000001
No.355: 1.051802, 2.4000000000000004, 3.000000000000001
No.356: 0.8914, 2.5000000000000004, 3.000000000000001
No.357: 0.721683, 2.6000000000000005, 3.000000000000001
No.358: 0.605405, 2.7000000000000006, 3.000000000000001
No.359: 0.53827, 2.8000000000000007, 3.000000000000001
No.360: 0.484601, 2.900000000000001, 3.000000000000001
No.361: 0.437542, 3.000000000000001, 3.000000000000001
No.362: 0.437542, 3.100000000000001, 3.000000000000001
No.363: 0.382872, 3.200000000000001, 3.000000000000001
No.364: 0.362831, 3.300000000000001, 3.000000000000001
No.365: 0.344356, 3.4000000000000012, 3.000000000000001
No.366: 0.327953, 3.5000000000000013, 3.000000000000001
No.367: 0.313679, 3.6000000000000014, 3.000000000000001
No.368: 0.300416, 3.7000000000000015, 3.000000000000001
No.369: 0.288243, 3.8000000000000016, 3.000000000000001
No.370: 0.276907, 3.9000000000000017, 3.000000000000001
No.371: 0.266627, 4.000000000000002, 3.000000000000001
No.372: 0.25709, 4.100000000000001, 3.000000000000001
No.373: 0.248172, 4.200000000000002, 3.000000000000001
No.374: 0.240048, 4.3000000000000025, 3.000000000000001
No.375: 0.232842, 4.400000000000002, 3.000000000000001
No.376: 0.234737, 4.500000000000002, 3.000000000000001
No.377: 0.237801, 4.600000000000002, 3.000000000000001
No.378: 0.242027, 4.700000000000003, 3.000000000000001
No.379: 0.246812, 4.8000000000000025, 3.000000000000001
No.380: 0.252066, 4.900000000000002, 3.000000000000001
No.381: 0.257894, 5.000000000000003, 3.000000000000001
No.382: 0.253271, 5.100000000000003, 3.000000000000001
No.383: 0.240897, 5.200000000000003, 3.000000000000001
No.384: 0.23055, 5.3000000000000025, 3.000000000000001
No.385: 0.221991, 5.400000000000003, 3.000000000000001
No.386: 0.214926, 5.5000000000000036, 3.000000000000001
No.387: 0.208924, 5.600000000000003, 3.000000000000001
No.388: 0.203971, 5.700000000000003, 3.000000000000001
No.389: 0.199958, 5.800000000000003, 3.000000000000001
No.390: 0.196942, 5.900000000000004, 3.000000000000001
No.391: 0.194726, 6.0000000000000036, 3.000000000000001
No.392: 0.193115, 6.100000000000003, 3.000000000000001
No.393: 0.192151, 6.200000000000004, 3.000000000000001
No.394: 0.191703, 6.300000000000004, 3.000000000000001
No.395: 0.191711, 6.400000000000004, 3.000000000000001
No.396: 0.191997, 6.5000000000000036, 3.000000000000001
No.397: 0.192554, 6.600000000000004, 3.000000000000001
No.398: 0.193555, 6.700000000000005, 3.000000000000001
No.399: 0.194737, 6.800000000000004, 3.000000000000001
No.400: 0.196232, 6.900000000000004, 3.000000000000001
No.401: 0.197908, 7.000000000000004, 3.000000000000001
No.402: 0.199853, 7.100000000000005, 3.000000000000001
No.403: 0.202792, 7.200000000000005, 3.000000000000001
No.404: 0.206385, 7.300000000000004, 3.000000000000001
No.405: 0.210356, 7.400000000000005, 3.000000000000001
No.406: 0.214393, 7.500000000000005, 3.000000000000001
No.407: 0.218644, 7.600000000000005, 3.000000000000001
No.408: 0.222977, 7.700000000000005, 3.000000000000001
No.409: 0.227534, 7.800000000000005, 3.000000000000001
No.410: 0.23224, 7.900000000000006, 3.000000000000001
No.411: 0.237082, 8.000000000000005, 3.000000000000001
No.412: 0.242041, 8.100000000000005, 3.000000000000001
No.413: 0.247399, 8.200000000000006, 3.000000000000001
No.414: 0.252874, 8.300000000000006, 3.000000000000001
No.415: 0.25849, 8.400000000000006, 3.000000000000001
No.416: 0.264273, 8.500000000000005, 3.000000000000001
No.417: 0.270267, 8.600000000000005, 3.000000000000001
No.418: 0.276524, 8.700000000000006, 3.000000000000001
No.419: 0.282868, 8.800000000000006, 3.000000000000001
No.420: 0.289115, 8.900000000000006, 3.000000000000001

No.421: 1.651493, 2.0, 3.200000000000001
No.422: 1.594028, 2.1, 3.200000000000001
No.423: 1.523752, 2.2, 3.200000000000001
No.424: 1.42132, 2.3000000000000003, 3.200000000000001
No.425: 1.138689, 2.4000000000000004, 3.200000000000001
No.426: 0.968717, 2.5000000000000004, 3.200000000000001
No.427: 0.792361, 2.6000000000000005, 3.200000000000001
No.428: 0.645978, 2.7000000000000006, 3.200000000000001
No.429: 0.561397, 2.8000000000000007, 3.200000000000001
No.430: 0.50546, 2.900000000000001, 3.200000000000001
No.431: 0.452029, 3.000000000000001, 3.200000000000001
No.432: 0.416935, 3.100000000000001, 3.200000000000001
No.433: 0.391788, 3.200000000000001, 3.200000000000001
No.434: 0.370793, 3.300000000000001, 3.200000000000001
No.435: 0.351461, 3.4000000000000012, 3.200000000000001
No.436: 0.334127, 3.5000000000000013, 3.200000000000001
No.437: 0.319133, 3.6000000000000014, 3.200000000000001
No.438: 0.305333, 3.7000000000000015, 3.200000000000001
No.439: 0.292588, 3.8000000000000016, 3.200000000000001
No.440: 0.280697, 3.9000000000000017, 3.200000000000001
No.441: 0.269827, 4.000000000000002, 3.200000000000001
No.442: 0.259866, 4.100000000000001, 3.200000000000001
No.443: 0.250444, 4.200000000000002, 3.200000000000001
No.444: 0.241835, 4.3000000000000025, 3.200000000000001
No.445: 0.233932, 4.400000000000002, 3.200000000000001
No.446: 0.234092, 4.500000000000002, 3.200000000000001
No.447: 0.237815, 4.600000000000002, 3.200000000000001
No.448: 0.242827, 4.700000000000003, 3.200000000000001
No.449: 0.248248, 4.8000000000000025, 3.200000000000001
No.450: 0.254339, 4.900000000000002, 3.200000000000001
No.451: 0.261, 5.000000000000003, 3.200000000000001
No.452: 0.251135, 5.100000000000003, 3.200000000000001
No.453: 0.238068, 5.200000000000003, 3.200000000000001
No.454: 0.227257, 5.3000000000000025, 3.200000000000001
No.455: 0.218483, 5.400000000000003, 3.200000000000001
No.456: 0.211311, 5.5000000000000036, 3.200000000000001
No.457: 0.205366, 5.600000000000003, 3.200000000000001
No.458: 0.200386, 5.700000000000003, 3.200000000000001
No.459: 0.196498, 5.800000000000003, 3.200000000000001
No.460: 0.193664, 5.900000000000004, 3.200000000000001
No.461: 0.191628, 6.0000000000000036, 3.200000000000001
No.462: 0.190281, 6.100000000000003, 3.200000000000001
No.463: 0.189626, 6.200000000000004, 3.200000000000001
No.464: 0.189391, 6.300000000000004, 3.200000000000001
No.465: 0.189533, 6.400000000000004, 3.200000000000001
No.466: 0.190125, 6.5000000000000036, 3.200000000000001
No.467: 0.191143, 6.600000000000004, 3.200000000000001
No.468: 0.19247, 6.700000000000005, 3.200000000000001
No.469: 0.194007, 6.800000000000004, 3.200000000000001
No.470: 0.195772, 6.900000000000004, 3.200000000000001
No.471: 0.197844, 7.000000000000004, 3.200000000000001
No.472: 0.201178, 7.100000000000005, 3.200000000000001
No.473: 0.204965, 7.200000000000005, 3.200000000000001
No.474: 0.209063, 7.300000000000004, 3.200000000000001
No.475: 0.213385, 7.400000000000005, 3.200000000000001
No.476: 0.217882, 7.500000000000005, 3.200000000000001
No.477: 0.222582, 7.600000000000005, 3.200000000000001
No.478: 0.227432, 7.700000000000005, 3.200000000000001
No.479: 0.232409, 7.800000000000005, 3.200000000000001
No.480: 0.237491, 7.900000000000006, 3.200000000000001
No.481: 0.242969, 8.000000000000005, 3.200000000000001
No.482: 0.248634, 8.100000000000005, 3.200000000000001
No.483: 0.248634, 8.200000000000006, 3.200000000000001
No.484: 0.260602, 8.300000000000006, 3.200000000000001
No.485: 0.266863, 8.400000000000006, 3.200000000000001
No.486: 0.273371, 8.500000000000005, 3.200000000000001
No.487: 0.28011, 8.600000000000005, 3.200000000000001
No.488: 0.286961, 8.700000000000006, 3.200000000000001
No.489: 0.293195, 8.800000000000006, 3.200000000000001
No.490: 0.298838, 8.900000000000006, 3.200000000000001

No.491: 1.677304, 2.0, 3.4000000000000012
No.492: 1.622994, 2.1, 3.4000000000000012
No.493: 1.557651, 2.2, 3.4000000000000012
No.494: 1.478419, 2.3000000000000003, 3.4000000000000012
No.495: 1.25807, 2.4000000000000004, 3.4000000000000012
No.496: 1.032213, 2.5000000000000004, 3.4000000000000012
No.497: 0.858977, 2.6000000000000005, 3.4000000000000012
No.498: 0.686845, 2.7000000000000006, 3.4000000000000012
No.499: 0.582331, 2.8000000000000007, 3.4000000000000012
No.500: 0.522943, 2.900000000000001, 3.4000000000000012
No.501: 0.465524, 3.000000000000001, 3.4000000000000012
No.502: 0.4265, 3.100000000000001, 3.4000000000000012
No.503: 0.399713, 3.200000000000001, 3.4000000000000012
No.504: 0.377973, 3.300000000000001, 3.4000000000000012
No.505: 0.357984, 3.4000000000000012, 3.4000000000000012
No.506: 0.339813, 3.5000000000000013, 3.4000000000000012
No.507: 0.32407, 3.6000000000000014, 3.4000000000000012
No.508: 0.309856, 3.7000000000000015, 3.4000000000000012
